id;nome;carga_horas_min_curso;carga_horas_min_estagio;perc_max_estagio_ac;perc_max_atividade_distancia
1;woot rude;14073;23191;5146;19956
2;towel detect insidious;19798;3505;28525;4254
3;disguised fervently dirty;22475;27631;6312;24323
4;across;23938;21505;12950;108
5;smuggling measly;19016;12659;957;16558
6;however aside;2722;28648;27970;30214
7;meh jubilantly er;14047;29658;21847;462
8;hence um;4983;26160;30480;4088
9;yuck skeletal;412;14960;25533;21559
10;iconify majestically;10446;19906;4170;23937
